"Time"	"Standard force"	"Standard travel"
"s"	"N"	"mm"
1,03252	0,400271	0,0
1,03453	0,399378	0,0
1,04852	0,417445	0,0
1,06053	0,409943	0,0
1,06253	0,403473	0,0
1,54453	0,413436	0,0
1,54653	0,405563	0
1,55853	0,396215	1,52737e-07
1,56452	0,40363	1,5446e-06
1,56853	0,428518	2,40235e-06
1,57052	0,40801	2,6091e-06
1,67053	0,412224	2,07272e-06
1,77052	0,396309	-4,56761e-06
1,87053	0,412153	-2,21189e-08
1,97053	0,396166	7,96787e-06
2,07052	0,382897	0,000191397
2,17053	0,408669	0,000614903
2,27052	0,396796	0,000898394
2,37053	0,394751	0,00117119
2,47053	0,401808	0,0014526
2,57052	0,405615	0,00173149
2,67053	0,406178	0,00200647
2,77052	0,405051	0,00229041
2,87053	0,374491	0,00257241
2,97053	0,38272	0,00285556
3,07052	0,3888	0,00313316
3,17053	0,403158	0,00341036
3,27052	0,417177	0,00368954
3,37053	0,379308	0,00396763
3,47053	0,397375	0,00423785
3,57052	0,390035	0,00451835
3,67053	0,393791	0,00480614
3,77052	0,405933	0,00507856
3,87053	0,380806	0,00534719
3,97053	0,395843	0,00563127
4,07052	0,421028	0,00590959
4,17053	0,390041	0,00618699
4,27052	0,380224	0,00646871
4,37053	0,427461	0,00675539
4,47053	0,397956	0,00703165
4,57052	0,414533	0,00728635
4,67053	0,39416	0,00756998
4,77052	0,379808	0,00785963
4,87053	0,374432	0,008129
4,97053	0,419687	0,00841096
5,07052	0,387039	0,00869883
5,17053	0,389864	0,00896418
5,27052	0,361757	0,00923864
5,37053	0,382467	0,00952963
5,47053	0,40718	0,00979909
5,57052	0,392046	0,0100799
5,67053	0,402863	0,0103718
5,77052	0,406902	0,0106408
5,87053	0,378298	0,0109096
5,97053	0,414276	0,0111866
6,07052	0,396019	0,0114767
6,17053	0,380792	0,0117477
6,27052	0,416104	0,012034
6,37053	0,41982	0,0123054
6,47053	0,394415	0,0125756
6,57052	0,384406	0,0128516
6,67053	0,383837	0,0131391
6,77052	0,376668	0,0134159
6,87053	0,37804	0,0136833
6,97053	0,365791	0,0139738
7,07052	0,387359	0,0142369
7,17053	0,389829	0,014533
7,27052	0,421988	0,0148127
7,37053	0,383589	0,0150664
7,47053	0,400387	0,0153549
7,57052	0,374973	0,0156519
7,67053	0,357082	0,0159242
7,77052	0,383323	0,0161895
7,87053	0,416391	0,0164626
7,97053	0,405491	0,0167434
8,07052	0,362596	0,0170327
8,17053	0,395445	0,0172952
8,27052	0,387321	0,0175775
8,37053	0,391156	0,0178619
8,47053	0,385003	0,0181505
8,57052	0,361762	0,0184162
8,67053	0,358903	0,0186844
8,77052	0,391099	0,0189615
8,87053	0,406319	0,0192414
8,97053	0,362674	0,0195294
9,07052	0,420854	0,0198033
9,17053	0,380553	0,0200867
9,27052	0,405818	0,0203418
9,37053	0,397415	0,0206354
9,47053	0,389921	0,0209161
9,57052	0,398835	0,0211936
9,67053	0,390698	0,0214651
9,77052	0,362577	0,0217405
9,87053	0,398546	0,0220247
9,97053	0,370397	0,0222989
10,0705	0,38	0,0225767
10,1705	0,393958	0,0228547
10,2705	0,368896	0,0231334
10,3705	0,380654	0,0234138
