C:\EA\AEwin for PCI2\AEData\MASTER\charcoal-2023-02-21-01.DTA
PCI2 (r) Location Version 
Version E3.10

Four Channel DiSP Test
Tue Feb 21 11:50:24 2023

 ID     SSSSSSSS.mmmuuun      PARA1      PARA2  CH  DURATION AMP  ABS-ENERGY
  1        7.2304245     0.1117     0.1831   2         0  23  67.463E-03
  1       11.8788678     0.1239     0.4578   2         0  23  91.249E-03
  1       17.7910905     0.1401     0.4273   2         0  23  80.974E-03
  1       22.5074010     0.1511     0.4578   2         0  23  61.924E-03
  1       25.0736410     0.1581     0.4273   2         0  23  51.294E-03
  1       47.9853230     0.2243     0.4578   2         0  23  62.789E-03
  1       54.9664415     0.2429     0.3052   1        41  27 619.057E-03
  1       58.8836262     0.2536     0.4578   1        41  23  70.092E-03
  1       59.9446975     0.2561     0.4578   2         0  23  68.273E-03
  1       66.9981088     0.2768     0.4273   2         0  23  57.059E-03
  1       76.5405392     0.3046     0.3052   2         0  23  78.878E-03
  1       96.2177495     0.3562     0.8545   2         0  23  67.910E-03
  1      113.2729768     0.4035     8.5147   2         0  23  65.958E-03
  1      117.4963270     0.4172    11.6886   1        12  28 214.921E-03
  1      122.2295832     0.4282    15.4424   2         0  23  77.396E-03
  1      124.7242680     0.4379    17.3955   1        12  23  60.006E-03
  1      126.1851460     0.4392    18.5247   2         0  23  85.093E-03
  1      134.8483520     0.4636    27.3446   2         0  23  75.359E-03
  1      165.3402145     0.5506    67.5680   2         0  23  69.668E-03
  1      167.3714230     0.5564    71.2302   2         0  23  67.165E-03
  1      175.3477955     0.5780    85.2992   2         0  23  59.161E-03
  1      183.5869445     0.6003   101.0468   2        17  24 286.090E-03
  1      183.5869645     0.6003   101.0468   1        33  27 591.769E-03
  1      184.2804357     0.6037   102.3591   2        17  23 177.083E-03
  1      184.5114852     0.6027   102.5117   2        13  26 338.905E-03
  1      184.5115330     0.6027   102.5117   1        13  23 230.359E-03
  1      186.8691990     0.6085   107.5777   2         0  23 218.646E-03
  1      186.8692143     0.6076   107.8829   1        30  24 369.282E-03
  1      188.4705053     0.6137   111.0263   2         6  24 232.501E-03
  1      188.9239067     0.6149   112.2776   1        43  39   4.096E+00
  1      192.1593600     0.6244   119.1137   2         6  23 162.700E-03
  1      192.1593685     0.6244   119.1137   1        43  23 132.382E-03
  1      193.5468347     0.6281   122.0130   2        89  29 704.145E-03
  1      193.7681182     0.6272   122.7149   2       162  33   2.971E+00
  1      193.7682033     0.6272   122.7149   1        94  28 850.718E-03
  1      193.9342657     0.6269   122.8675   1        38  27 478.203E-03
  1      197.1681557     0.6366   130.3446   1        43  29   1.011E+00
  1      203.0281165     0.6525   143.2844   2       162  23  56.906E-03
  1      207.0791912     0.6647   153.2945   2        73  29 641.792E-03
  1      211.9085945     0.6760   166.6921   2        73  23  67.109E-03
  1      213.1585248     0.6827   170.1102   2        73  23  70.638E-03
  1      214.3738657     0.6873   173.2841   2        49  28 527.170E-03
  1      215.5730340     0.6882   176.7327   1        15  25 254.050E-03
  1      216.0645958     0.6873   177.9229   2         0  23 116.964E-03
  1      226.1987055     0.7175   209.3265   2         0  23 175.000E-03
  1      226.2769292     0.7199   209.4485   2        29  26 373.605E-03
  1      228.1352200     0.7224   215.3081   2        29  23  76.405E-03
  1      230.9881867     0.7306   224.9214   2         4  23 154.895E-03
  1      234.6060072     0.7428   237.0067   1        11  23 185.180E-03
  1      235.6283545     0.7440   240.5469   2        40  30 736.524E-03
  1      236.2486048     0.7465   242.4085   1         3  24 224.593E-03
  1      238.0956385     0.7505   248.4817   2        40  23 130.298E-03
  1      241.8608357     0.7614   261.2079   1         3  23  99.530E-03
  1      242.0021240     0.7614   261.6962   2         3  24 238.407E-03
  1      242.0021380     0.7614   261.6962   1        59  29 930.761E-03
  1      242.0658007     0.7602   262.1540   2       187  29   1.716E+00
  1      242.0658105     0.7590   261.9099   1       174  37  13.145E+00
  1      242.0859085     0.7602   262.0624   2       108  27 845.865E-03
  1      242.0859195     0.7602   262.0624   1        47  32   1.904E+00
  1      242.0937447     0.7611   262.0319   2       120  30   1.140E+00
  1      242.0937597     0.7611   262.0319   1        99  38   8.138E+00
  1      242.7754150     0.7614   264.3818   2        94  33 944.595E-03
  1      242.7754415     0.7614   264.3818   1        99  23 200.920E-03
  1      243.0131457     0.7663   265.1143   1        22  25 237.803E-03
  1      244.4064572     0.7688   269.9667   2         0  23  94.415E-03
  1      244.8412183     0.7685   271.2180   1        22  23 128.563E-03
  1      246.0424237     0.7712   274.8802   2        87  28 650.170E-03
  1      246.0424452     0.7712   274.8802   1       106  30   1.599E+00
  1      246.9433100     0.7736   278.2678   2        66  25 322.173E-03
  1      246.9433218     0.7736   278.2678   1        62  27 821.798E-03
  1      248.5784625     0.7807   283.6696   1        40  27 574.456E-03
  1      249.7384462     0.7834   287.5454   1        30  23 369.766E-03
  1      249.7759387     0.7810   287.8201   2        87  29 991.807E-03
  1      249.7759510     0.7810   287.8201   1        49  30   1.535E+00
  1      249.9784635     0.7834   288.3083   1        33  26 414.561E-03
  1      249.9784663     0.7834   288.3083   2        32  24 174.539E-03
  1      250.0201792     0.7834   288.4304   2        11  24 232.431E-03
  1      250.0201925     0.7834   288.4304   1        25  26 497.922E-03
  1      250.4928842     0.7855   290.0174   2        11  23  79.940E-03
  1      250.9400223     0.7859   291.4823   1        46  31   1.346E+00
  1      251.0609340     0.7855   291.9706   1        46  23 142.149E-03
  1      252.0542588     0.7904   295.3886   2        11  23  92.741E-03
  1      252.4758198     0.7898   296.8535   2        34  32 674.804E-03
  1      252.4758545     0.7898   296.8535   1         3  23 152.214E-03
  1      252.9932745     0.7929   298.5626   2        34  23 187.347E-03
  1      252.9933105     0.7929   298.5626   1        28  25 329.748E-03
  1      254.0702125     0.7956   302.2248   2        71  33   1.110E+00
  1      254.0702348     0.7956   302.2248   1        42  27 694.724E-03
  1      255.7424427     0.7993   308.2980   2        85  30 831.240E-03
  1      255.7424492     0.7993   308.2980   1        82  34   2.243E+00
